"subject","location","age","sex","condition","rating","cell","frequency","duration","effect","condition_simple","freq_A","freq_B","freq_C","freq_D","dur_A","dur_B","dur_C","dur_D"
2,"nz",21,"female","fewC",6,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
18,"nz",20,"male","fewC",7,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
33,"nz",20,"male","fewC",4,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
40,"nz",43,"female","fewC",5,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
41,"nz",21,"female","fewC",2,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
42,"nz",20,"male","fewC",3,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
44,"nz",22,"male","fewC",3,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
50,"nz",21,"female","fewC",1,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
56,"nz",24,"female","fewC",0,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
57,"nz",22,"male","fewC",5,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
61,"nz",18,"female","fewC",3,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
65,"nz",20,"female","fewC",7,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
67,"nz",24,"female","fewC",3,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
68,"nz",20,"female","fewC",3,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
70,"nz",20,"female","fewC",6,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
75,"nz",21,"female","fewC",0,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
81,"nz",14,"female","fewC",8,"C",9,800,"frequency","few","36","36","9","36","800","800","800","800"
